PartitionKey,RowKey,,Tweets,Length,Date,Source,Favourites,RTs,Language
site,site,158, 19 march - climate demonstration by ...what do we want? climate justice! when do we want it?now!#globalclimat…,140,24/3/2021 6:51,Twitter Web App,0,247,en
site,site,159, climate triangulation*set bold targets in the distant future.*announce incremental actions.*provide justifications/…,140,23/3/2021 19:34,Twitter for iPhone,0,490,en
site,site,160, the 15 largest listed fashion companies are lagging behind when it comes to meeting the social and environmental targets of th…,140,23/3/2021 18:14,Twitter Web App,0,222,en
site,site,161," heyquick reminderif you're not going to listen to climate strikers on your policy, don't use images of climate strike…",140,23/3/2021 17:30,Twitter Web App,0,303,en
site,site,162,"some countries are racing to vaccinate their entire populations, while other countries have nothing. s… ",140,23/3/2021 6:46,Twitter Web App,5946,1384,en
site,site,163," access to water is a defence against ill-health, indignity and the challenges derived from the climate crisis.this #…",140,22/3/2021 18:24,Twitter Web App,0,615,en
site,site,164,"the technology, known as bioenergy with carbon capture and storage (beccs), could prove a cure worse than the dise… ",140,22/3/2021 18:20,Twitter Web App,2945,700,en
site,site,165, we held a protest to demand #justiceforlakevictoria during the  - expedition.plastic pollution is increas…,140,22/3/2021 17:52,Twitter Web App,0,193,en
site,site,166, water sources in #somalia are drying up at a rapid rate leaving 70% of families across the country without access to s…,140,22/3/2021 11:28,Twitter Web App,0,289,en
site,site,167," climate change increases extremes at both ends--extreme heat, drought &amp; wildfire one year, devastating floods the next.…",142,22/3/2021 11:24,Twitter Web App,0,556,en
site,site,168,"this is ‘sports-wash’– when heavily polluting industries sponsor spoto appear as friends of healthy activity, w… ",140,22/3/2021 8:19,Twitter Web App,6571,1426,en
site,site,169," a further 4,000 people could be evacuated in the coming hours as the worst flood since 1961 hits greater sydney's hawkesbury n…",140,22/3/2021 8:06,Twitter Web App,0,395,en
site,site,170,today on #intlforestday 24 ngos and 44 indigenous communities send an open letter telling the eu to unite behind th… ,140,21/3/2021 14:00,Twitter for iPhone,3955,1008,en
site,site,171,wearing odd socks today with moses on #worlddownsyndromeday !#oddsocks #rockasockorna ,110,21/3/2021 13:16,Twitter for iPhone,13716,839,en
site,site,172, “residents of wealthy and middle-income countries have received about 90 percent of the nearly 400 million vaccines deli…,140,21/3/2021 12:36,Twitter Web App,0,416,en
site,site,173,"picture of a clear cut forest by swedish state-owned  in pajala, sweden on sápmi reindeer grazing land.ph… ",140,21/3/2021 9:20,Twitter for iPhone,3145,391,en
site,site,174,"today is #intlforestdaywe’re loosing 10 million acres of forest every year, at a time when we need to maximise eve… ",140,21/3/2021 9:15,Twitter for iPhone,17588,4712,en
site,site,175,the true face of chevron and big oil.watch and share. #freedonziger ,92,20/3/2021 17:58,Twitter Web App,13820,6113,en
site,site,176," 🔥  in poland is not going anywhere - the fight for poland free of coal, free of injustice and full of h…",140,20/3/2021 17:20,Twitter for iPhone,0,210,en
site,site,177, the global climate strike was full of digital actions too!!   ,133,20/3/2021 16:48,Twitter for iPhone,0,187,en
site,site,178,"to those who still choose to suppodirty energy, do you know what you’re doing to people on the ground?… ",130,20/3/2021 16:43,Twitter for iPhone,3949,909,en
site,site,179, being a climate activist in russia is like i'm too lazy to register our strike on the global strike.at the same timewe…,139,20/3/2021 16:40,Twitter for iPhone,0,162,en
site,site,180," for 3 hours, youth and allies shut down the intersection of bay street &amp; queen street west, demanding that our politicians…",144,20/3/2021 14:26,Twitter for iPhone,0,206,en
site,site,181,"are you #readytorewild ?today is #worldrewildingdayto protect, restore and rewild the living world is probably t… ",140,20/3/2021 12:33,Twitter for iPhone,6257,1804,en
site,site,182," oh, what? yup! we're still not done &lt;3more strikes from nairobi and mombasa, kenya, uganda &amp; ireland!there are so s…",147,20/3/2021 12:23,Twitter Web App,0,295,en
site,site,183,24y/o mauritian scientist and activist shaama sandooyea joining the global climate strike in the indian ocean. late… ,140,20/3/2021 9:02,Twitter for iPhone,10370,1747,en
site,site,184, climate activist  took pain a global climate strike under the banner of #nomoreemptypromises in stockholm htt…,140,20/3/2021 8:43,Twitter Web App,0,385,en
site,site,185,"  include aviation &amp; shipping, imports &amp; exports, and the pre-covid drop in co2 was nearer 15% in 30years. th…",148,20/3/2021 8:39,Twitter for iPhone,0,126,en
site,site,186," incredible, but devastating footage of a house floating down the manning river at taree.🎥tanya cross #nswfloods ",140,20/3/2021 7:47,Twitter for iPhone,0,1783,en
site,site,187," the global day of climate action from the eyes of our strikers in carabobo (venezuela) , mpika (zambia) and manikganj (…",140,19/3/2021 21:03,Twitter for iPhone,0,302,en
site,site,188, centring voices of indigenous youth ✊ shut down the intersection at bay &amp; queen as paof the worldwide #cli…,144,19/3/2021 19:30,Twitter for iPhone,0,166,en
site,site,189,italy japan  mexico  turkey  ,99,19/3/2021 19:19,Twitter for iPhone,1741,241,en
site,site,190,what a day! today we striked (online or physically in small numbers) in 1068 places in 68 countries!soon we’ll be… ,139,19/3/2021 19:12,Twitter for iPhone,7244,1357,en
site,site,191," and thanks to everyone who act &lt;3 ! that's not number that count, like here in kyiv (ukraine) and beirut (lebanon) http…",143,19/3/2021 19:02,Twitter for iPhone,0,215,en
site,site,192," however shining🌤️☀️ it was, it never stopped us from demanding for what we want. of recently our eyes 👀 and ears👂have been cov…",140,19/3/2021 18:37,Twitter for iPhone,0,189,en
site,site,193, strike outside birmingham city council today calling for #nomoreemptypromises &amp; at - birmingham is one of the…,144,19/3/2021 18:37,Twitter for iPhone,0,155,en
site,site,194," we organized an offline action with  volunteers, where everyone could take a picture with our posters. no one…",139,19/3/2021 18:36,Twitter for iPhone,0,178,en
site,site,195," march &amp; youth demonstration in noakhali, southern pa&amp; most climate vulnerable area in bangladesh. youth from banglad…",148,19/3/2021 18:36,Twitter for iPhone,0,217,en
site,site,196, #globalclimatestrike #delhi at delhi secretariat;just asking for our #righttobreath🌳  …,140,19/3/2021 18:29,Twitter Web App,0,195,en
site,site,197," in this global climate strike,we are asking standard chartered bank to clean up which is funding hundreds of fossil fue…",140,19/3/2021 18:22,Twitter Web App,0,176,en
site,site,198," week 115, cork, ireland. we couldn’t organize a protest for the global strike here in cork because of lockdown, but here…",139,19/3/2021 18:04,Twitter for iPhone,0,286,en
site,site,199," bergamo, italy spelling out #nomoreemptypromises! oldenburg, germany with 400 pairs of shoes for their covid-19 appropr…",140,19/3/2021 14:20,Twitter Web App,0,285,en
site,site,200," here is a thread of our #globalclimatestrike. what a great turnout. i couldn't have done it without you guys!hey, …",140,19/3/2021 13:56,Twitter Web App,0,279,en
site,site,201," school strike for climate week #19this is just the beginning ,we will be in millions protesting until we are done!!!#no…",140,19/3/2021 13:43,Twitter Web App,0,270,en
